record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
EMSC-20161026_0000095__MTR__0,EMSC-20161026_0000095,MTR,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=MTR&data-type=ACC,downloaded,200,,,2026-03-17T07:32:13.512531+00:00
IR-1997-0029__LGV__0,IR-1997-0029,LGV,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1997-0029&station=LGV&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-1997-0029&station=LGV&data-type=ACC,2026-03-17T07:32:13.534495+00:00
IT-2012-0061__0ORS__0,IT-2012-0061,0ORS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0061&station=0ORS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:13.832983+00:00
IR-2004-0043__TEH30__0,IR-2004-0043,TEH30,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=TEH30&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=TEH30&data-type=ACC,2026-03-17T07:32:13.989008+00:00
EMSC-20160824_0000013__RM33__0,EMSC-20160824_0000013,RM33,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000013&station=RM33&data-type=ACC,downloaded,200,,,2026-03-17T07:32:14.550072+00:00
EMSC-20161026_0000095__AQV__0,EMSC-20161026_0000095,AQV,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=AQV&data-type=ACC,downloaded,200,,,2026-03-17T07:32:14.653555+00:00
EMSC-20160824_0000006__TOD__0,EMSC-20160824_0000006,TOD,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=TOD&data-type=ACC,downloaded,200,,,2026-03-17T07:32:32.944048+00:00
TK-2000-0449__5401__0,TK-2000-0449,5401,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=TK-2000-0449&station=5401&data-type=ACC,downloaded,200,,,2026-03-17T07:32:33.209383+00:00
EMSC-20160824_0000006__ATN__0,EMSC-20160824_0000006,ATN,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=ATN&data-type=ACC,downloaded,200,,,2026-03-17T07:32:33.569943+00:00
TK-2007-0024__4401__0,TK-2007-0024,4401,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=TK-2007-0024&station=4401&data-type=ACC,downloaded,200,,,2026-03-17T07:32:33.833903+00:00
EMSC-20161026_0000095__BSS__0,EMSC-20161026_0000095,BSS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=BSS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:34.198616+00:00
TK-1996-0035__6002__0,TK-1996-0035,6002,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=TK-1996-0035&station=6002&data-type=ACC,downloaded,200,,,2026-03-17T07:32:34.460184+00:00
TK-1999-0415__MSK__0,TK-1999-0415,MSK,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=TK-1999-0415&station=MSK&data-type=ACC,downloaded,200,,,2026-03-17T07:32:34.739514+00:00
EMSC-20160824_0000013__MSCT__0,EMSC-20160824_0000013,MSCT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000013&station=MSCT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:35.058210+00:00
IR-2003-0041__BLV__0,IR-2003-0041,BLV,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2003-0041&station=BLV&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2003-0041&station=BLV&data-type=ACC,2026-03-17T07:32:35.216574+00:00
IR-2005-0044__DKH__0,IR-2005-0044,DKH,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=DKH&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2005-0044&station=DKH&data-type=ACC,2026-03-17T07:32:35.713899+00:00
