site,N_obs,bias,se_est,mcse,raw_rel,jensen,bias/se,bias/mcse,bias_corrected,bias/se_corrected,bias_corrected/mcse
26,1000.0,-0.006157344262492925,0.1298681773826641,0.004106792361039831,0.002332702523605169,-0.008432871748347552,0.04741226362444399,1.4993074207759312,0.0,0.0,0.0
27,1000.0,0.027263553921294426,0.1506525998878562,0.00476405351071653,0.03943684445145859,-0.011348102926485245,0.18096968749021958,5.722763999179744,0.0,0.0,0.0
28,1000.0,-0.015228156356849265,0.16508070809054473,0.00522031035319507,-0.0016164331503565493,-0.013625820091837822,0.0922467351454345,2.9170978977387683,0.0,0.0,0.0
29,1000.0,-0.014996027685857838,0.13169381614272596,0.004164524127704642,-0.00626746536419041,-0.008671630605117055,0.11387040124652152,3.6008982601628454,0.0,0.0,0.0
30,1000.0,-0.013725180541910076,0.13288501213461063,0.004202193052444832,-0.004866051025471073,-0.008829213225007806,0.10328614432458841,3.2661946680257294,0.0,0.0,0.0
31,1000.0,-0.021086245701920303,0.14574697913948578,0.004608924161698227,-0.0103600238868048,-0.01062109096414285,0.14467706861862234,4.575090620313171,0.0,0.0,0.0
32,1000.0,0.018283870979314942,0.14877019438709632,0.004704526622092219,0.029761160988583224,-0.011066285368987213,0.1229000947040559,3.886442239152141,0.0,0.0,0.0
33,1000.0,-0.003601271418534946,0.153356046414711,0.0048495439962898575,0.008290987106144782,-0.0117590384859755,0.02348307421017008,0.7426000096689704,0.0,0.0,0.0
34,1000.0,0.026884157464731162,0.14129957011083857,0.004468284739529005,0.03756205108075051,-0.009982784256753892,0.19026354746615734,6.0166616569661535,0.0,0.0,0.0
35,1000.0,-0.007138089366989453,0.1522563831546627,0.00481476959068027,0.004418732248285502,-0.011591003105669729,0.04688203685843864,1.4825401782063106,0.0,0.0,0.0
36,1000.0,-0.005922070543333158,0.14378697027086393,0.004546943239108479,0.004393829448513789,-0.010337346409837153,0.041186419966824823,1.3024289576340302,0.0,0.0,0.0
37,1000.0,-0.008342066704509099,0.13318514355228406,0.004211684041217066,0.0005282015182852935,-0.008869141231521256,0.06263511441299968,1.9806962305031937,0.0,0.0,0.0
38,1000.0,-0.005925010973744538,0.15516393153879635,0.004906714343690315,0.006179830815808852,-0.012037922825288141,0.03818549140244671,1.2075312640450895,0.0,0.0,0.0
39,1000.0,-0.011365399997218306,0.1541178780705448,0.00487363522855038,0.0004913899339019679,-0.011876160170483657,0.07374485127556707,2.3320169574116534,0.0,0.0,0.0
