site,N_obs,min,max,mean,median,variance,std,2.5pc,5pc,16pc,84pc,95pc,97.5pc,skewness,kurtosis
29,1000.0,0.38552055455560913,0.4485093780301825,0.41476842808984676,0.41406612933704784,0.00010763570633299277,0.01037995422835648,0.3953076777691594,0.3978746756126156,0.40479124793262533,0.42552675708475957,0.4326261094742896,0.4350727621673454,0.1414088642657417,-0.08611519350978991
30,1000.0,0.4372371648536357,0.5149387412279844,0.4735808287887009,0.4731149335843513,0.00015638655411832108,0.01251171839578947,0.44981653043042286,0.45380987241165405,0.4613335786929664,0.4856926192348595,0.4945735718599709,0.49952827309180886,0.1651093764829014,0.04799218777968273
31,1000.0,0.8274210407323291,1.101713676483525,0.9444228579278787,0.9403831990542248,0.0015158153471941196,0.03895295470017639,0.8775798982894951,0.8862848781741159,0.9068985757895045,0.984229634986749,1.0131064881536704,1.0306113875817242,0.4927936164012514,0.34943032050533684
32,1000.0,0.45553193030785744,0.5399598679397408,0.49907334663548475,0.4985203263114688,0.00016006782973340328,0.012658122206361987,0.47672582824088366,0.4791476658043256,0.4866633719709235,0.5117356794892844,0.5207580956999427,0.5247873201825469,0.18522658261808544,0.15032736176026962
33,1000.0,0.4347737065363143,0.49956292258365137,0.46245804071949165,0.4621561004583161,8.959803989651235e-05,0.009470360480157895,0.444513391085503,0.44740497499681714,0.45308629910470194,0.4719663723115941,0.47829338040803854,0.4820626920180567,0.22103623255597285,0.19402272639698293
34,1000.0,0.8377534194536567,1.1372173091855187,0.9593590394918852,0.9574273306943888,0.0016618237888009993,0.04078587103491939,0.8861851223912908,0.8959125154281208,0.9190107517946605,1.0010561452788722,1.031011478731474,1.0424229900671944,0.3215691463593278,0.3117359898081973
35,1000.0,0.4311546507772893,0.4841467181078529,0.4566201443288294,0.45614338688616846,8.020511952464507e-05,0.008960212326143541,0.4392993642654757,0.44197423316180445,0.44791201774559164,0.46533731085945507,0.47227846397291223,0.47467841400018973,0.1041416057624829,0.026288674523525124
36,1000.0,0.4369988675074686,0.49562935548489445,0.4630383956253061,0.46293941172106207,7.746159886976078e-05,0.00880563103972501,0.44669123413439354,0.44875966654803434,0.45420163237140104,0.4716086757263331,0.4779516555428541,0.48051485642327174,0.1174366718462395,-0.04938134791651594
37,1000.0,0.4225099885240399,0.5024541487404522,0.45334759656693535,0.4530000208430982,0.00014973838119981697,0.012242886484374764,0.43148460761097407,0.43429620317360457,0.44143472006884027,0.46507113903964453,0.47456472433008107,0.47856642723483933,0.33516407763880457,0.23746089891109534
38,1000.0,0.9500214410567255,1.2652571949400413,1.08778663129781,1.0848489175531961,0.003018421201789231,0.054967650890625344,0.9910367777386507,1.00290954628389,1.0326894090125887,1.1435213046391877,1.1832160661969973,1.2035780502202957,0.3732398469025667,0.08518265452666762
39,1000.0,0.4374796184935914,0.4945909894141052,0.4657843895948423,0.465773691383233,8.718948098997479e-05,0.009342203045734047,0.448407021145613,0.45130278858020234,0.4561942528241483,0.4749563406784691,0.48219133660468516,0.4851074672139641,0.12592289376258226,0.00301465675615864
40,1000.0,0.42688996047452527,0.5216917373586216,0.4721523617147786,0.4721767538380119,0.0002116442183070843,0.014555276513397667,0.44525138748677134,0.4485143740046976,0.4570179562089994,0.48668036859147823,0.4954162772709677,0.5019945456349346,0.1351706847846611,0.04166940408919384
41,1000.0,0.597070994662481,0.72882364553121,0.6499210430048905,0.649636474955061,0.00040368606249787796,0.02010199374814669,0.6103622330760079,0.6174111689178737,0.6305749097994605,0.6697175150702305,0.6845672353265694,0.6915850732477804,0.2556062928731635,0.3008588149389744
42,1000.0,0.5499206889283618,0.6676048078780223,0.6078297332088678,0.60668404172709,0.00030141279245347695,0.017369931115592756,0.5765013794071433,0.5817498283714795,0.5907870793577404,0.6248903536800515,0.6390194890837809,0.6446866629220984,0.32070750019575683,0.11131890500055608
43,1000.0,0.7227298892178999,0.9410858058921525,0.829517363451024,0.8291890948396151,0.0007283862112081498,0.02700213559210983,0.7780435799328516,0.7872684761508366,0.8025227029178519,0.8557877451061117,0.8727846816067266,0.8837312167458797,0.10207069535763805,0.26611361511507736
44,1000.0,0.560945981304938,0.6979204856162674,0.6306272406353474,0.6302170800470476,0.0003512758186629227,0.01875173181626251,0.5936810841065001,0.6005143968439762,0.6125911748651359,0.648596993397564,0.6632523446137559,0.667402113975372,0.02621723920465463,0.4313222191246102
45,1000.0,0.57152619076035,0.7156092515044261,0.638811403839508,0.6383751841824641,0.0004769379533929872,0.02184983681316062,0.5980583856972007,0.6032998228892934,0.6168767135549125,0.6598824675787409,0.6758537515748979,0.6849785468090884,0.2593275420093306,0.26704729500390867
46,1000.0,0.5687192051881408,0.7210678269568226,0.6499479805943246,0.6507485488629682,0.0005179994744948146,0.022770990151666705,0.6024898280448641,0.6112840069337306,0.6281744001185873,0.6711095233856605,0.6867518672588754,0.6948590596566613,-0.10573918226136012,0.40334772772059324
47,1000.0,0.5956769331705191,0.7248813056133286,0.6514392077403622,0.6514062423113054,0.00031124060459346856,0.017650840114572984,0.6174460244254121,0.6240268295802173,0.6341180293718603,0.6685275725645724,0.6814043074942097,0.6880861482494164,0.20079000354705778,0.3419265249212531
48,1000.0,0.7858886755436959,1.1425907416067933,0.8904544567522845,0.885984322890569,0.001513959418803566,0.03892910085909079,0.8260357819428782,0.8338272715771274,0.8536063535737873,0.9257319550980431,0.9581051093916799,0.969221135631179,0.8393548942948965,2.5306020358669867
49,1000.0,0.5697602777615774,0.6989103888501303,0.6309282558008027,0.630497515203849,0.00041123719650419855,0.020289131212290687,0.5919307243915153,0.597028742418827,0.6113891136818135,0.6514338070690522,0.6647610420919285,0.6723975032971355,0.11423599594079134,0.01885368498177442
50,1000.0,0.4112125189679287,0.4757424994963811,0.4438172275642982,0.4436979272242494,0.00010508967021039381,0.010256454800537527,0.42367852868304035,0.4276546697977143,0.4336559130329016,0.4537869176455951,0.4607555029999789,0.46351348401688214,0.007346999197563857,0.09339192912782357
51,1000.0,0.7438678240995726,0.9746943177131289,0.8412049110371189,0.8407695947462083,0.0011364829790328063,0.0337286317485966,0.7775737592679489,0.7881509338174991,0.8079005186413117,0.8769016944586397,0.8953550450970531,0.9078697881320676,0.2075061327297783,0.11633947016880564
52,1000.0,0.5337861611590057,0.6561374641450214,0.5980716135013215,0.5985382891419969,0.0004057904362434587,0.020154320451861805,0.5600435165571376,0.5659638395075238,0.5779961422186728,0.6174685016841772,0.6323764761443729,0.6408733824022859,0.1101517764424645,0.07286478826478815
53,1000.0,0.8020287125822021,0.9856040081921817,0.8792819610402398,0.8783262530174669,0.0009450561770824283,0.030757148425393566,0.8244771493430624,0.8306866558920993,0.848603489275507,0.9107178639748505,0.9316402280754346,0.9409928224553574,0.20179670833734098,-0.17286805678564843
54,1000.0,0.6347561577553478,0.7403703923633931,0.6834190229995054,0.6832096066450155,0.0003330579068115244,0.018259005945276265,0.6489735799171893,0.6540856083591238,0.6652665885859216,0.7012751256500239,0.7139857544520964,0.720764651468045,0.1484038871642241,-0.12398150207986536
55,1000.0,0.4718440227877173,0.5644126616497824,0.5240173599306577,0.5239262141754502,0.00019967385468122375,0.014137670543962798,0.4962187036615384,0.5010780973603242,0.5091957924936955,0.537451081194289,0.5478769078989637,0.5521561800158284,-0.0360846313756935,-0.07033657618065181
56,1000.0,0.44507010987796447,0.5271566253108301,0.49048377422073985,0.49055301843659854,0.00017503393198475942,0.01323665898653755,0.46585884153810436,0.46914823391758476,0.4771328316274833,0.503236000453335,0.5126101030525373,0.5162339107881921,-0.095792125465252,0.1027821263645965
57,1000.0,0.47602662661995754,0.5712902444211392,0.5223308802906611,0.5220126315224356,0.00019848440152690487,0.014095498735820467,0.4950034153910434,0.4997416194387337,0.5078560751933658,0.5369646558690664,0.5459232111914142,0.5507329580319975,0.04638716429541156,-0.10648755066278959
58,1000.0,0.34280905785460525,0.3907342734666192,0.3680825633695012,0.368129940042728,6.4283149565065e-05,0.008021689165140166,0.35205479168009624,0.3546273784109035,0.36026974950663765,0.3758149777033291,0.3813788705147749,0.3833920503055543,-0.06464215456209588,-0.08515522664441288
59,1000.0,0.7070837588375382,0.8493059701511917,0.7694264337368129,0.7688299548271889,0.0003837781204440063,0.019600058232738315,0.7322529539272316,0.7369972012258418,0.7505456902230184,0.7898141656856391,0.80297133032314,0.8070966316393963,0.09484398549854202,0.1147347526676854
