IM,info,info,info,info,AvgSA_03_ub,AvgSA_03_ub,AvgSA_03_avg,AvgSA_03_avg
parameter,storeys,site,group,Vb_coeff,median,dispersion,median,dispersion
structure,,,,,,,,
3s_cbf_dc2_site56,3,56,group_3s_18,0.2130271215630449,0.5916169661093643,0.23593384670322454,0.572280340002846,0.23327155869707306
3s_cbf_dc2_site57,3,57,group_3s_17,0.2543854871403012,0.6307472375404701,0.22477786442032524,0.6086774313367977,0.22479758600346764
3s_cbf_dc2_site41,3,41,group_3s_17,0.2555122554357519,0.6307472375404701,0.22477786442032524,0.6086774313367977,0.22479758600346764
3s_cbf_dc2_site54,3,54,group_3s_17,0.2571982679377878,0.6307472375404701,0.22477786442032524,0.6086774313367977,0.22479758600346764
3s_cbf_dc2_site55,3,55,group_3s_24,0.2625764010754842,0.6257529365861865,0.24065886683918175,0.6027478672981784,0.24247018352916141
3s_cbf_dc2_site47,3,47,group_3s_21,0.270096772935828,0.6526570749024345,0.2044968253648322,0.6338290333020326,0.20673411867940977
3s_cbf_dc2_site52,3,52,group_3s_20,0.2868592250557802,0.6528075692443488,0.21187494737589452,0.6338901683376298,0.21053555691748876
3s_cbf_dc2_site45,3,45,group_3s_20,0.2893456869427213,0.6528075692443488,0.21187494737589452,0.6338901683376298,0.21053555691748876
3s_cbf_dc2_site49,3,49,group_3s_19,0.3440649897276621,0.6332415747519134,0.22584074493942785,0.6097461882181339,0.23532076461057122
3s_cbf_dc2_site44,3,44,group_3s_19,0.3465937145156265,0.6332415747519134,0.22584074493942785,0.6097461882181339,0.23532076461057122
3s_cbf_dc2_site46,3,46,group_3s_19,0.3503125164088124,0.6332415747519134,0.22584074493942785,0.6097461882181339,0.23532076461057122
3s_cbf_dc2_site53,3,53,group_3s_23,0.3830448843123597,0.8375806622966716,0.2649318447431443,0.8122218081818791,0.2598653006910157
3s_cbf_dc2_site34,3,34,group_3s_11,0.3881730654803285,0.8389659501398823,0.2679497793031024,0.8136924878918566,0.26303314617563106
3s_cbf_dc2_site43,3,43,group_3s_11,0.4019936099917753,0.8389659501398823,0.2679497793031024,0.8136924878918566,0.26303314617563106
3s_cbf_dc2_site31,3,31,group_3s_11,0.4030727307993614,0.8389659501398823,0.2679497793031024,0.8136924878918566,0.26303314617563106
3s_cbf_dc2_site59,3,59,group_3s_11,0.4084305221129851,0.8389659501398823,0.2679497793031024,0.8136924878918566,0.26303314617563106
3s_cbf_dc2_site51,3,51,group_3s_22,0.428613111111111,0.8220519717165894,0.2573787050955908,0.7940736910604445,0.26019936136520583
3s_cbf_dc2_site48,3,48,group_3s_22,0.4454972722222222,0.8220519717165894,0.2573787050955908,0.7940736910604445,0.26019936136520583
3s_cbf_dc2_site38,3,38,group_3s_15,0.471482875,0.9222711307647037,0.3328009270099949,0.898774045116336,0.3285801716461894
5s_cbf_dc2_site29,5,29,group_5s_00,0.0260139118091648,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site4,5,4,group_5s_00,0.0265641825526238,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site8,5,8,group_5s_00,0.0277392929476345,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site9,5,9,group_5s_00,0.0316820477051988,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site13,5,13,group_5s_00,0.0316820477051988,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site15,5,15,group_5s_00,0.0316820477051988,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site22,5,22,group_5s_00,0.0316820477051988,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site1,5,1,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site2,5,2,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site6,5,6,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site12,5,12,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site14,5,14,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site16,5,16,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site23,5,23,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site28,5,28,group_5s_00,0.0316820477051989,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site0,5,0,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site3,5,3,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site5,5,5,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
5s_cbf_dc2_site19,5,19,group_5s_00,0.031682047705199,0.36606590543579104,0.17807051087241557,0.352807661940145,0.18050983752789224
