lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
35,26.28213,3,800,TRUE,150,31.07,0.57
35,26.38213,3,800,TRUE,150,31.07,0.57
35,32.28213,0,800,TRUE,139.07,31.07,0.57
35,32.38213,0,800,TRUE,136.29,31.07,0.57
35,32.48213,0,800,TRUE,134.06,31.07,0.57
35,32.58213,2,800,TRUE,132.41,31.07,0.57
35,32.68213,2,800,TRUE,131.36,31.07,0.57
35,32.78213,2,800,TRUE,130.82,31.07,0.57
35,32.88213,2,800,TRUE,130.33,31.07,0.57
35,32.98213,2,800,TRUE,129.83,31.07,0.57
35,33.08213,2,800,TRUE,129.32,31.07,0.57
35,33.18213,2,800,TRUE,128.8,31.07,0.57
35,33.28213,2,800,TRUE,128.27,31.07,0.57
35,33.38213,2,800,TRUE,127.73,31.07,0.57
35,33.48213,2,800,TRUE,127.18,31.07,0.57
35,33.58213,2,800,TRUE,126.63,31.07,0.57
35,33.68213,2,800,TRUE,126.06,31.07,0.57
35,33.78213,2,800,TRUE,125.75,31.07,0.57
35,33.88213,2,800,TRUE,126.1,31.07,0.57
35,33.98213,2,800,TRUE,127.08,31.07,0.57
35,34.08213,2,800,TRUE,128.7,31.07,0.57
35,34.18213,2,800,TRUE,130.92,31.07,0.57
35,34.28213,2,800,TRUE,133.72,31.07,0.57
35,34.38213,2,800,TRUE,137.06,31.07,0.57
35,31.98213,4,800,TRUE,150,31.07,0.57
35,32.08213,4,800,TRUE,146.16,31.07,0.57
35,32.18213,4,800,TRUE,142.37,31.07,0.57
35.1,26.78213,0,800,TRUE,149.65,31.07,0.57
35.1,26.88213,0,800,TRUE,150,31.07,0.57
35.1,26.98213,0,800,TRUE,150,31.07,0.57
35.1,23.38213,1,800,TRUE,150,31.07,0.57
35.1,23.48213,1,800,TRUE,150,31.07,0.57
35.1,23.58213,1,800,TRUE,150,31.07,0.57
35.1,23.68213,1,800,TRUE,150,31.07,0.57
35.1,23.78213,1,800,TRUE,150,31.07,0.57
35.1,23.88213,1,800,TRUE,150,31.07,0.57
35.1,23.98213,3,800,TRUE,150,31.07,0.57
35.1,24.08213,3,800,TRUE,150,31.07,0.57
35.1,24.18213,3,800,TRUE,150,31.07,0.57
35.1,24.28213,3,800,TRUE,150,31.07,0.57
35.1,24.38213,3,800,TRUE,150,31.07,0.57
35.1,24.48213,3,800,TRUE,150,31.07,0.57
35.1,24.58213,3,800,TRUE,150,31.07,0.57
35.1,24.68213,3,800,TRUE,150,31.07,0.57
35.1,24.78213,3,800,TRUE,150,31.07,0.57
35.1,24.88213,3,800,TRUE,149.6,31.07,0.57
35.1,24.98213,3,800,TRUE,147.4,31.07,0.57
35.1,25.08213,3,800,TRUE,145.73,31.07,0.57
35.1,25.18213,3,800,TRUE,144.6,31.07,0.57
35.1,25.28213,3,800,TRUE,143.98,31.07,0.57
35.1,25.38213,3,800,TRUE,143.43,31.07,0.57
35.1,25.48213,3,800,TRUE,142.87,31.07,0.57
35.1,25.58213,3,800,TRUE,142.31,31.07,0.57
35.1,25.68213,3,800,TRUE,141.73,31.07,0.57
35.1,25.78213,3,800,TRUE,141.15,31.07,0.57
35.1,25.88213,3,800,TRUE,140.56,31.07,0.57
35.1,25.98213,3,800,TRUE,139.96,31.07,0.57
35.1,26.08213,3,800,TRUE,139.39,31.07,0.57
35.1,26.18213,3,800,TRUE,139.3,31.07,0.57
35.1,26.28213,3,800,TRUE,139.8,31.07,0.57
35.1,26.38213,3,800,TRUE,140.87,31.07,0.57
35.1,26.48213,3,800,TRUE,142.51,31.07,0.57
35.1,26.58213,3,800,TRUE,144.7,31.07,0.57
35.1,32.38213,0,800,TRUE,125.64,31.07,0.57
