Group ID,RSN ID,Status
31,4031905,downloaded
31,4032012,downloaded
31,4034403,downloaded
31,5003360,downloaded
31,6001704,downloaded
31,7001887,downloaded
31,7005922,downloaded
31,7006129,downloaded
31,7006198,downloaded
31,7006253,downloaded
31,7010391,downloaded
31,7011565,downloaded
32,3000424,downloaded
32,4001370,downloaded
32,4005958,downloaded
32,4010286,downloaded
32,4017862,downloaded
32,4022973,downloaded
32,4024852,downloaded
32,4028064,downloaded
32,4028790,downloaded
32,4031890,downloaded
32,4032403,downloaded
32,4032877,downloaded
32,4035240,downloaded
32,5001374,downloaded
32,6000516,downloaded
32,6005391,downloaded
32,6005804,downloaded
32,7001106,downloaded
32,7001792,downloaded
32,7001834,downloaded
32,7004603,downloaded
32,7004653,downloaded
32,7004931,downloaded
32,7005975,downloaded
32,7006238,downloaded
32,7006896,downloaded
32,7008000,downloaded
32,7008236,downloaded
32,7010492,downloaded
32,7010673,downloaded
33,3000375,downloaded
33,4002248,downloaded
33,4002329,downloaded
33,4002451,downloaded
33,4002547,downloaded
33,4012370,downloaded
33,4018488,downloaded
33,4019160,downloaded
33,4021878,downloaded
33,4023113,downloaded
33,4028577,downloaded
33,4036227,downloaded
33,4040150,downloaded
33,4040877,downloaded
33,5001375,downloaded
33,5001414,downloaded
33,6001375,downloaded
33,6002704,downloaded
33,6005363,downloaded
33,6005445,downloaded
33,6005675,downloaded
33,7001555,downloaded
33,7001956,downloaded
33,7004845,downloaded
33,7004864,downloaded
33,7004896,downloaded
33,7004951,downloaded
33,7007968,downloaded
33,7007982,downloaded
33,7008571,downloaded
34,1000086,downloaded
34,2000985,downloaded
34,3000103,downloaded
34,4001301,downloaded
34,4003072,downloaded
34,4012375,downloaded
34,4016897,downloaded
34,4022878,downloaded
34,4025464,downloaded
34,4028498,downloaded
34,4028624,downloaded
34,4029054,downloaded
34,4029224,downloaded
34,4031414,downloaded
34,4032944,downloaded
34,4033854,downloaded
34,4040158,downloaded
34,4040602,downloaded
34,4040669,downloaded
34,5001514,downloaded
34,6001352,downloaded
34,6004246,downloaded
34,6005381,downloaded
34,7001732,downloaded
34,7002769,downloaded
34,7006039,downloaded
34,7006219,downloaded
34,7006547,downloaded
34,7006623,downloaded
34,7010439,downloaded
35,3000408,downloaded
35,4002585,downloaded
35,4003196,downloaded
35,4003222,downloaded
35,4003225,downloaded
35,4007340,downloaded
35,4012413,downloaded
35,4016779,downloaded
35,4018504,downloaded
35,4022576,downloaded
35,4022978,downloaded
35,4028535,downloaded
35,4031853,downloaded
35,4039219,downloaded
35,4040761,downloaded
35,4040889,downloaded
35,5003392,downloaded
35,6001442,downloaded
35,6001518,downloaded
35,6004056,downloaded
35,7004709,downloaded
35,7005958,downloaded
35,7005968,downloaded
35,7006202,downloaded
35,7006420,downloaded
35,7006587,downloaded
35,7007991,downloaded
35,7010162,downloaded
35,7011787,downloaded
35,7011970,downloaded
36,1001788,downloaded
36,1002900,downloaded
36,3001523,downloaded
36,4009468,downloaded
36,4017127,downloaded
36,4018289,downloaded
36,4019215,downloaded
36,4019309,downloaded
36,4022516,downloaded
36,4027384,downloaded
36,4027542,downloaded
36,4027591,downloaded
36,4028399,downloaded
36,4034662,downloaded
36,5003400,downloaded
36,5004043,downloaded
36,6001139,downloaded
36,6001720,downloaded
36,6003440,downloaded
36,6004043,downloaded
36,7001233,downloaded
36,7002767,downloaded
36,7005973,downloaded
36,7006155,downloaded
36,7007075,downloaded
36,7008191,downloaded
36,7008540,downloaded
36,7010134,downloaded
36,7010457,downloaded
36,7010501,downloaded
37,1002915,downloaded
37,2000064,downloaded
37,4007208,downloaded
37,4007434,downloaded
37,4007498,downloaded
37,4009572,downloaded
37,4017043,downloaded
37,4017870,downloaded
37,4019897,downloaded
37,4022523,downloaded
37,4022538,downloaded
