metadata,metadata,metadata
event_id,station_code,location_code
IT-2009-0102,AQP,0
IT-2013-0005,PVF,0
EMSC-20160824_0000013,FMG,0
IT-2009-0102,PSC,0
EMSC-20160824_0000006,FEMA,0
EMSC-20161026_0000095,SPD,0
TK-1999-0077,4101,0
EMSC-20161026_0000095,CTD,0
EMSC-20161030_0000029,AQF,0
IT-2002-0024,CDI,0
EMSC-20160824_0000006,ATCC,0
IT-2008-0004,PVF,0
EMSC-20130125_0000039,SFI,0
IT-2012-0010,SSU,0
IT-2009-0140,FMG,0
GR-2016-0006,LXRA,0
IT-2013-0005,PRT,0
IT-2012-0008,STF,0
IT-2012-0011,AUL,0
IT-2012-0009,CST,0
IT-2012-0010,BRA,0
IT-2012-0008,MOG,0
EMSC-20151118_0000064,AGRP,0
TK-2004-0062,4802,0
IT-2013-0019,TRV,0
IT-2009-0174,RM09,0
IT-2009-0140,SCN,0
EMSC-20161026_0000095,GSA,0
TK-2005-0114,2301,0
EMSC-20141122_0000066,GRER,0
TK-1999-0294,3401,0
EMSC-20161026_0000077,GBC,0
IT-2012-0011,PRT,0
IT-2009-0009,FMG,0
IT-2012-0008,SSU,0
TK-1998-0084,0107,0
TK-2004-0076,4802,0
EMSC-20150609_0000085,ZKR,0
EMSC-20130108_0000044,PSRA,0
IT-2012-0004,BGN,0
EMSC-20161030_0000029,FMG,0
IT-2012-0008,CVT,0
IT-1997-0137,CLC,0
TK-2004-0142,4802,0
EMSC-20161026_0000095,MURB,0
ME-1979-0003,DUB,0
IT-2012-0011,ZEN8,0
EMSC-20161026_0000095,ANT,0
IT-2009-0121,RM03,0
EMSC-20130807_0000038,MGNA,0
EMSC-20161026_0000077,ANT,0
IT-2012-0011,ASOL,0
IT-1997-0128,FORC,0
TK-1998-0066,3102,0
EMSC-20160824_0000006,CSD,0
IT-1981-0001,LNM,0
EMSC-20130516_0000002,DATC,0
EMSC-20161026_0000095,SNM,0
EMSC-20161026_0000095,MPAG,0
TK-1999-0594,5401,0
IT-2013-0005,CNF,0
EMSC-20161026_0000077,CLN,0
IT-2012-0011,ZCCA,0
EMSC-20161026_0000095,FOPC,0
EMSC-20161026_0000077,T1216,0
EMSC-20160824_0000006,MDAR,0
IT-2012-0008,ZEN8,0
EMSC-20161026_0000095,TLN,0
IT-2012-0004,BDG,0
EMSC-20160824_0000006,TER,0
EMSC-20161026_0000077,T1212,0
EMSC-20160824_0000006,AQV,0
EMSC-20161026_0000077,SLO,0
IT-1976-0025,SMT,0
IT-1980-0012,CLT,0
TK-1999-0415,C1061,0
IT-2012-0011,MIR06,0
EMSC-20160824_0000006,RNI2,0
EMSC-20140524_0000026,PRK,0
EMSC-20160824_0000013,MMP1,0
TK-2001-0097,4603,0
EMSC-20161026_0000095,SDM,0
IT-2013-0019,SACR,0
EMSC-20161026_0000077,AQU,0
IT-2013-0019,ARR,0
EMSC-20160824_0000006,MVB,0
TK-2005-0054,2406,0
EMSC-20161026_0000095,CSO1,0
IT-2012-0008,PVF,0
EMSC-20160824_0000006,MTL,0
IT-2013-0019,SGSC,0
EMSC-20161026_0000095,ASS,0
IT-2012-0006,MTRZ,0
IT-1998-0028,SELE,0
TK-1997-0126,5902,0
EMSC-20120126_0000013,DATC,0
EMSC-20161030_0000029,UMB,0
IT-2009-0009,GNL,0
IT-2012-0004,VLC,0
EMSC-20150724_0000042,NOAC,0
EMSC-20120214_0000005,EFSA,0
IT-2012-0008,RVR,0
EMSC-20161026_0000095,MTR,0
EMSC-20161026_0000095,MSC,0
EMSC-20120610_0000062,DATC,0
