record_identifier,component,database
EMSC-20161030_0000029_T1212_0,U,ESM
IT-2009-0102_MI01_0,U,ESM
IT-2009-0121_AQP_0,V,ESM
EMSC-20160824_0000006_FEMA_0,V,ESM
IT-2009-0121_RM02_0,U,ESM
IT-1980-0012_BGI_0,U,ESM
EMSC-20160824_0000006_SPD_0,U,ESM
IT-2012-0011_FIN0_0,U,ESM
EMSC-20161026_0000095_CMI_0,U,ESM
IT-1976-0030_FRC_0,U,ESM
IT-2009-0121_AQA_0,U,ESM
EMSC-20160824_0000006_MSC_0,V,ESM
EMSC-20160824_0000006_MSCT_0,U,ESM
IT-1997-0137_SER_0,V,ESM
TK-1999-0077_4101_0,U,ESM
IT-1976-0025_GMN_0,V,ESM
IT-1976-0027_SRC0_0,U,ESM
TK-1999-0077_YPT_0,V,ESM
TK-1999-0077_4106_0,V,ESM
EMSC-20160824_0000006_MSCT_0,V,ESM
TK-1999-0077_4106_0,U,ESM
GR-1986-0006_KALA_0,V,ESM
GR-1986-0006_KAL1_0,V,ESM
IT-2009-0102_BDT_0,V,ESM
GR-1990-0014_ABS1_0,V,ESM
TK-2003-0038_2301_0,U,ESM
EMSC-20160824_0000006_MSAG_0,V,ESM
TK-1999-0294_1001_0,U,ESM
IT-2009-0121_BRS_0,U,ESM
IT-2009-0121_GSA_0,V,ESM
IT-2012-0010_CPGN_0,V,ESM
EMSC-20161030_0000029_ACC_0,V,ESM
EMSC-20120522_0000001_HUMR_0,U,ESM
EMSC-20160824_0000006_NOR_0,U,ESM
EMSC-20161026_0000095_MMO_0,U,ESM
TK-2007-0024_2301_0,U,ESM
IT-2009-0009_AQK_0,U,ESM
EMSC-20160824_0000006_AMT_0,V,ESM
EMSC-20161030_0000029_CIT_0,V,ESM
IT-2012-0010_CRM1_0,V,ESM
IT-2009-0009_CSS_0,V,ESM
EMSC-20120610_0000062_CESE_0,U,ESM
EMSC-20120610_0000062_AKIN_0,U,ESM
TK-2004-0020_2406_0,V,ESM
EMSC-20160824_0000006_PCB_0,U,ESM
GR-2016-0006_JAN_0,U,ESM
EMSC-20160824_0000006_FOSV_0,V,ESM
EMSC-20161026_0000095_MDAR_0,V,ESM
EMSC-20161026_0000095_SNO_0,U,ESM
IT-2009-0102_AQK_0,U,ESM
TK-2005-0032_2406_0,U,ESM
EMSC-20161026_0000095_SPD_0,U,ESM
IT-2009-0121_BZZ_0,U,ESM
IT-1976-0027_FRC_0,U,ESM
TK-2004-0089_2301_0,U,ESM
EMSC-20160824_0000006_MDAR_0,U,ESM
EMSC-20161030_0000029_MSC_0,U,ESM
EMSC-20161030_0000029_AQA_0,V,ESM
EMSC-20161030_0000029_T1299_0,U,ESM
ME-1979-0002_ULA_0,U,ESM
TK-1999-0415_C1060_0,U,ESM
EMSC-20160824_0000006_AQU_0,U,ESM
IT-1980-0012_BSC_0,U,ESM
IT-2002-0045_SCV_0,V,ESM
AM-1988-0001_GUK_0,V,ESM
EMSC-20161026_0000077_CSC_0,U,ESM
IT-1981-0001_FMC_0,U,ESM
EMSC-20161030_0000029_PZI1_0,U,ESM
TK-1999-0415_C1060_0,V,ESM
EMSC-20161026_0000077_PCB_0,V,ESM
EMSC-20161030_0000029_AQK_0,U,ESM
EMSC-20161030_0000029_AMT_0,V,ESM
EMSC-20161026_0000095_TRE1_0,V,ESM
IT-2002-0047_SCV_0,V,ESM
GR-1999-0001_ATH2_0,V,ESM
EMSC-20161030_0000029_ANT_0,U,ESM
IT-2009-0121_FMG_0,V,ESM
IT-2009-0102_RM14_0,U,ESM
EMSC-20161030_0000029_CTD_0,U,ESM
EMSC-20160824_0000006_AQG_0,V,ESM
EMSC-20160824_0000006_AQA_0,V,ESM
EMSC-20160824_0000006_AQK_0,V,ESM
EMSC-20161030_0000029_MSC_0,V,ESM
IT-2012-0061_VGG_0,V,ESM
IT-2009-0140_AQP_0,V,ESM
EMSC-20161030_0000029_MSCT_0,V,ESM
EMSC-20161026_0000095_MCT_0,U,ESM
IT-2009-0140_AQG_0,U,ESM
IT-1980-0012_BNV_0,U,ESM
EMSC-20160824_0000013_AMT_0,U,ESM
IT-2012-0010_MIR06_0,V,ESM
IT-1997-0137_NRC_0,U,ESM
EMSC-20160824_0000013_CSC_0,V,ESM
IT-2012-0061_VGG_0,U,ESM
GR-1986-0011_KAL2_0,V,ESM
IT-1980-0012_BNV_0,V,ESM
IT-1980-0012_BSC_0,V,ESM
EMSC-20161026_0000077_CLO_0,V,ESM
TK-1999-0077_YPT_0,U,ESM
IT-1984-0004_CSN0_0,U,ESM
IT-1997-0137_FHC_0,U,ESM
IT-2012-0061_TGN_0,U,ESM
EMSC-20130108_0000044_EFSA_0,U,ESM
IT-2009-0102_AQV_0,V,ESM
IT-2013-0005_TOD_0,U,ESM
EMSC-20160824_0000006_GRN_0,V,ESM
ME-1979-0012_TIVA_0,U,ESM
5001611,H1,NGASub
4008080,H1,NGASub
2001423,H1,NGASub
6001442,H2,NGASub
7006391,H1,NGASub
4032012,H2,NGASub
7011565,H2,NGASub
4025906,H1,NGASub
7006169,H2,NGASub
4032013,H2,NGASub
IT-1997-0006_AQI_0,V,ESM
