metadata,metadata,metadata
event_id,station_code,location_code
IR-2004-0043,BRQ,0
IT-1997-0137,SPM,0
EMSC-20160824_0000006,CSO1,0
EMSC-20160824_0000006,PTI,0
IR-2004-0043,RMS,0
EMSC-20161030_0000029,MGAB,0
IR-2002-0035,AQB,0
IR-2004-0043,MAB,0
GR-1994-0007,HER1,0
EMSC-20161026_0000095,ATCC,0
EMSC-20161030_0000029,CSN,0
IT-2012-0011,ASOL,0
IT-2009-0009,SCP,0
EMSC-20160824_0000006,CPS,0
IR-1997-0030,SRY,0
EMSC-20161030_0000029,PSC,0
IT-2012-0011,MTRZ,0
EMSC-20161030_0000029,CDM,0
EMSC-20161026_0000095,T1218,0
EMSC-20161026_0000095,AQK,0
EMSC-20130108_0000044,ORLT,0
EMSC-20161026_0000095,MMP1,0
IT-2012-0008,SNM,0
IT-1997-0137,NOCE,0
IT-2012-0008,CPGN,0
EMSC-20161026_0000095,AQA,0
EMSC-20161026_0000095,MSC,0
IT-2009-0009,CMB,0
EMSC-20161030_0000029,MMO,0
EMSC-20161030_0000029,FLT,0
EMSC-20120709_0000050,MNVG,0
EMSC-20120709_0000050,DEMR,0
EMSC-20110401_0000033,IACM,0
GR-1994-0007,CHNA,0
IT-2009-0121,RM05,0
IT-2012-0008,FVZ,0
IT-2009-0121,PSC,0
EMSC-20161026_0000077,AQV,0
EMSC-20160824_0000006,GRD,0
IT-2013-0019,SAB,0
IT-2012-0061,SALB,0
EMSC-20160824_0000013,INTR,0
EMSC-20130409_0000010,MNVA,0
IT-2013-0019,RNI2,0
EMSC-20161030_0000029,CSD,0
EMSC-20140126_0000046,YDRA,0
EMSC-20160824_0000013,0UM8,0
TK-1998-0084,3102,0
EMSC-20161026_0000095,CMB,0
IT-2009-0102,SPC,0
IT-2012-0008,SPI,0
EMSC-20161026_0000077,FEMA,0
EMSC-20161026_0000077,PSC,0
EMSC-20161026_0000077,CTD,0
IT-2012-0008,MTL1,0
EMSC-20160824_0000013,TRE1,0
EMSC-20161030_0000029,MVB,0
EMSC-20161026_0000095,AQF,0
IR-2004-0043,SAR1,0
IT-2012-0008,PCRO,0
IT-2009-0102,ANT,0
IT-1997-0137,ANNI,0
IT-2012-0008,STS,0
EMSC-20161026_0000095,SDM,0
EMSC-20161026_0000077,VAL,0
EMSC-20160824_0000006,GBB,0
EMSC-20160824_0000006,0CAN,0
EMSC-20151117_0000025,ITM,0
EMSC-20161026_0000095,MMUR,0
EMSC-20141122_0000066,ISR,0
TK-1999-0294,3401,0
IT-2012-0008,ANB,0
EMSC-20161030_0000029,SIG,0
EMSC-20161030_0000029,IMOL,0
IT-2009-0009,SPO,0
IT-1997-0137,AQP,0
EMSC-20161026_0000095,T1211,0
EMSC-20141122_0000066,GRER,0
IR-2004-0043,BHS,0
TK-2000-0449,3401,0
EMSC-20160824_0000006,SIG,0
IT-2013-0005,BGN,0
IT-2013-0005,VOBA,0
EMSC-20161026_0000077,CIMA,0
IT-2013-0019,GLD,0
EMSC-20161026_0000077,MMUR,0
IT-2009-0009,SNM,0
IT-2012-0011,VOBA,0
TK-2001-0091,1001,0
IT-2009-0140,RM03,0
IT-2009-0121,LSS,0
IT-2012-0011,MOV,0
IT-1997-0091,NCR2,0
IR-2004-0043,DMV1,0
EMSC-20150416_0000081,YKAV,0
IT-2009-0140,ANT,0
IT-2013-0019,PGN,0
IT-2009-0140,RM02,0
EMSC-20160824_0000013,MNF,0
EMSC-20161026_0000095,PGG,0
TK-1999-0294,1001,0
IT-2013-0019,SACR,0
IT-1977-0008,TLM1,0
EMSC-20161026_0000077,T1211,0
IT-2009-0121,AQK,0
EMSC-20161026_0000077,T1243,0
EMSC-20161026_0000095,ATVO,0
IT-2012-0011,CTL8,0
IT-2011-0110,GSM,0
IT-2009-0140,NOR,0
TK-2003-0109,1204,0
EMSC-20161101_0000060,T1256,0
EMSC-20161026_0000077,MNTP,0
IT-2012-0008,PVF,0
IT-2009-0262,RM03,0
IT-2012-0006,CSP,0
IT-2009-0262,SPD,0
EMSC-20141122_0000066,GISR,0
EMSC-20110927_0000034,GVD,0
TK-1999-0069,5902,0
EMSC-20160824_0000013,FMG,0
IT-2012-0004,VLC,0
IT-2012-0011,STF,0
IT-2009-0174,RM05,0
IT-2009-0032,FMG,0
IT-2012-0004,PZS,0
IT-2009-0174,RM01,0
GR-2016-0006,TPE,0
IT-1981-0001,SLA,0
IT-2009-0140,MI01,0
TK-2007-0030,1201,0
EMSC-20140203_0000008,LSK,0
IT-2012-0010,MLC,0
EMSC-20140126_0000085,VLMS,0
TK-1999-0069,1001,0
IT-2002-0009,RSN,0
EMSC-20140824_0000074,BASM,0
IT-2009-0095,RM05,0
EMSC-20150417_0000011,ZKR,0
EMSC-20161030_0000029,ATPC,0
EMSC-20161026_0000077,PTI,0
IT-2012-0032,MIR06,0
EMSC-20130516_0000002,DATC,0
EMSC-20141108_0000098,AC11,0
EMSC-20161026_0000077,CLO,0
