NGAsubRSN,Station_Name
7006029,KAU021
2000008,ALO
7001265,TCU116
7006712,TTN022
7006055,KAU053
7010122,CHY133
4028053,KYOWA
2002142,968
1002911,O19K
7010254,MTN136
7007153,TCU147
6001452,CTUTU
1002962,AK:Kodiak;Fire Dept HQ
5003378,KFHS
7006828,HWA019
7006845,HWA019
4028259,SHIMODATE
3000098,3567
4031675,KOMAKI
7005088,HWA019
4022717,YAITA
4008135,HAYAMA
4034571,OKADA
7006610,TCU047
4025853,GIFH03
4009582,SHIZUKUISHI
3001576,POZU
5003374,WAZ
7001248,TCU094
1002495,CUT
5001492,MWFS
4022750,OGUNI
4028139,SHIMOGOH
4016893,KIRYUH
4017125,SHIOBARA
4036713,INA
7006411,HWA035
4019898,UTSUNOMIYA
7006607,TCU044
7006160,TCU074
7001149,TAP051
5001498,NGHS
4027598,HOHHOKU
7005378,TTN004
6001151,IQUIQUE PLAZA
1002973,AK:Anchorage;O'Malley FS08
7005081,HWA012
4031958,KAKEGAWA
7006894,ILA017
7010125,HWA019
7010144,HWA019
4028406,SHINJOH
1002947,AK:Anchorage;Klatt Elem Sch
7005087,HWA018
6001570,CMAN1
7006588,TCU082
7006637,TCU082
7001163,TAP074
4016998,SHIMODATE
4027497,INNAI
5003317,WBFS
4022553,NINOHE-E
6001138,MOQ2
7006724,TTN035
3001041,SNET
7006977,TAP033
4022483,NISHIGOU
7006044,KAU040
5001503,PUZ
1002801,BRSE
7006246,TTN029
4027572,IKEDA
6001150,IQUIQUE IDIEM
4028076,IKARIGASEKI
4028257,MITO
7007026,TAP097
4007553,ASAHI
7005867,CHY035
7005930,CHY121
4026009,SHIZUOKAKITA
4017130,UTSUNOMIYA
5001487,HNPS
4016793,CHOHKAI
7006695,TTN003
3000106,3563
7010982,WFSB
7005101,HWA037
4019892,KUROISO
4027434,HONKAWA
7001018,TCU081
7001240,TCU081
4031962,HAMAMATSU
7006738,TTN050
4019344,SHIROISHI
2000036,EARN
6001513,CCALI
7005849,CHY010
7007100,TCU081
4007215,ANI
1001764,HOM
7011247,SBCB
7011600,SBCB
7001143,TAP042
4028366,UTSUNOMIYA
7005343,TCU106
2000065,SP2
4021845,KIKUCHI
7010432,TCU074
6001550,CTRUJ
2000074,HAO
4031813,YOKOSUKA
7010143,HWA018
7006994,TAP053
7010281,MTN181
6003500,PB09
7006196,TCU129
7006271,TCU129
6001699,CBMAL
7011021,TPUB
7011575,TPUB
1002199,ADK
4025966,HOTAKA
7006357,CHY102
7006746,CHY102
4031678,FUJIOKA
4007430,KAMIKAWA
4031989,OKADA
4031889,INA
4007252,ATSUSHIOKANOU
7006597,TCU032
7010488,TCU143
7001205,TCU029
7005894,CHY074
6001723,CRICA
7006897,ILA023
4027607,TOKUYAMA
6001003,SANTIAGO LA FLORIDA METRO EST MIRADOR
5003375,HNPS
7001196,TCU016
4016794,OGACHI
7007008,TAP074
7006255,TTN038
4019338,TAIWA
4033503,SHIMODATE
7006870,HWA047
1002920,AJKS
7006293,CHY018
7001191,TCU011
2000071,BEVT
4022437,FUJISATO
7006254,TTN037
7010197,ILA017
4027326,MISAKI
2000082,2181
6001561,CCALI
4022453,ROKKASYO
2000060,RBEN
1002829,HOM
4027494,BUNGOTAKADA
7006266,TTN050
7010167,HWA047
7010340,TAP078
7006221,TTN001
6001509,CBORD
7006860,HWA036
7007063,TCU036
7001186,TCU004
4019453,YAMAGATA
4017073,IWAYAGUCHI
4034479,YOKOSUKA
7010448,TCU092
4036733,EIGENJI
7000078,HWA016
1002197,OKCE
4009619,TAJIRI
4016796,ANI
3000001,2841
7005387,TTN015
7006224,TTN004
7007132,TCU120
5001499,NSPS
7006542,KAU099
4007255,SHIMOGOU
2000025,SEU
7006215,TCU154
4016827,NISHIMEYA
7011016,TWGB
7011559,TWGB
5003342,PFAS
7005075,HWA005
3001435,VILE
4017013,MIYAKO
7006735,TTN047
7001158,TAP069
5004001,BWRS
7005123,HWA062
5003349,LHRS
7010262,MTN151
7007034,TAP109
4040456,Ground Observation Point
7006245,TTN028
7011570,PHUB
4038619,KADOKURASAKI
6001716,CPAS5
4032458,47409
4033574,OGAWA
2000018,LAP
7001150,TAP053
4017137,MOTEGI
3001294,644
7010141,HWA016
5003389,TUHS
7011015,TPUB
7011558,TPUB
7006310,CHY042
2000014,HAL
7006143,TCU055
4017058,TAIWA
4031932,HIGASHIMATSUYAMA
4007473,TOKIGAWA
7006161,TCU076
7006312,CHY046
7005288,TCU019
4032032,SUTAMA
4033472,YAMATSURI
7005877,CHY052
4017169,ENZAN
4025870,KANAYAMA
6001562,CCRUZ
7006297,CHY024
7004084,ILA023
1002817,FID
7010137,HWA012
4007205,NISHIKI-S
4017100,HIGASHIMATSUYAMA
7010174,HWA055
3000100,3570
6001703,CDAGU
7006341,CHY081
4016883,KANEYAMA
6002956,T11A
6001152,MEJILLONES HOSPITAL
7006951,MTN123
7006045,KAU042
7010278,MTN178
4016813,IKARIGASEKI
7005980,HWA055
4031881,MATSUMOTO
7010495,TCU150
4019736,HARAMACHI
7006693,TTN001
4028290,ASHIRO
2000904,1725
4036714,KOMAGANE
7006412,HWA037
4031755,MINOKAMO
4027316,NIIHAMA
