record_identifier,component
IT-2012-0011_CRM1_0,V
EMSC-20130108_0000044_YDRA_0,V
GR-1983-0001_AGR1_0,U
GR-1997-0019_KRN1_0,U
EMSC-20160824_0000006_NRC_0,U
IT-2012-0008_STAF_0,V
EMSC-20161030_0000029_0MBT_0,U
EMSC-20160824_0000006_PCB_0,V
IT-2009-0009_AQU_0,V
EMSC-20160824_0000013_ANT_0,U
IT-2012-0061_MLR_0,V
IT-2012-0061_SNA_0,V
IT-2002-0047_SCV_0,U
EMSC-20160824_0000006_FMG_0,U
EMSC-20161030_0000029_AQK_0,V
IT-2009-0009_CSO1_0,U
TK-1999-0415_5401_0,U
EMSC-20161026_0000095_TER_0,V
EMSC-20161026_0000077_CIT_0,U
IT-1997-0137_NCM_0,V
IT-2009-0009_ANT_0,U
EMSC-20160824_0000006_SNO_0,V
ME-1979-0012_KOTZ_0,U
EMSC-20161026_0000095_T1216_0,V
IT-1980-0012_ALT_0,V
ME-1979-0012_TIVA_0,V
EMSC-20140126_0000046_LSK_0,V
IT-2012-0011_MURB_0,U
TK-1999-0294_4107_0,V
IT-2012-0008_SBEG_0,V
IT-2009-0009_AQG_0,U
EMSC-20160824_0000006_FRT_0,V
EMSC-20140203_0000008_LSK_0,V
TK-2002-0012_5401_0,U
EMSC-20140126_0000046_SALB_0,U
IT-2012-0011_MMUR_0,V
ME-1979-0012_KOTZ_0,V
EMSC-20161030_0000029_ACC_0,U
GE-1991-0009_SPIK_0,U
IT-2012-0011_CADA_0,U
IT-2012-0008_T0104_0,U
IT-2012-0011_NEVI_0,U
EMSC-20161026_0000095_0MBT_0,V
TK-1999-0415_C1058_0,V
GR-1995-0017_KAS1_0,U
EMSC-20160824_0000006_CGRP_0,V
EMSC-20140126_0000046_ANKY_0,U
EMSC-20151117_0000025_CEL_0,V
EMSC-20161026_0000095_STAL_0,V
EMSC-20161026_0000095_SDM_0,V
IT-2012-0008_FEMA_0,U
EMSC-20161030_0000029_T1214_0,U
IT-2012-0008_FIE_0,U
EMSC-20161030_0000029_GRN_0,V
IT-2012-0008_BBN_0,V
IT-2009-0009_CMB_0,U
EMSC-20161030_0000029_FLT_0,V
EMSC-20140126_0000046_JAN_0,U
EMSC-20161026_0000095_CIMA_0,U
EMSC-20160824_0000006_SSC_0,V
EMSC-20161026_0000095_SNM_0,V
IT-2012-0008_CVT_0,U
EMSC-20160824_0000006_TRV_0,V
TK-2007-0024_1201_0,U
IT-2012-0008_FGV_0,V
IT-2012-0008_SNM_0,V
IT-2012-0011_RNC_0,U
EMSC-20161026_0000095_T1244_0,V
EMSC-20160824_0000006_ATN_0,U
EMSC-20161026_0000095_VLL_0,V
EMSC-20160824_0000006_PSC_0,U
IT-2009-0009_PDM_0,U
EMSC-20161030_0000029_SNM_0,V
EMSC-20160824_0000006_PTL_0,V
EMSC-20160824_0000006_FMG_0,V
IT-2012-0010_VLM_0,U
EMSC-20161030_0000029_AQG_0,V
EMSC-20161030_0000029_PSC_0,U
IT-2009-0009_STN_0,V
IT-2012-0008_CERA_0,U
IT-2012-0008_SCOU_0,V
EMSC-20151117_0000025_KYMI_0,U
IT-2012-0011_BBN_0,V
IT-2009-0009_CHT_0,U
TK-1999-0415_ARC_0,U
EMSC-20161030_0000029_AQU_0,U
IT-2009-0009_BBN_0,U
TK-1999-0294_5902_0,V
TK-2005-0036_2406_0,U
IT-1997-0137_AQP_0,U
EMSC-20160824_0000006_MCEL_0,V
EMSC-20151117_0000025_CELI_0,U
IT-1976-0025_SMT_0,U
EMSC-20161026_0000095_BSSO_0,V
TK-2002-0008_5401_0,U
EMSC-20161026_0000095_AQU_0,V
EMSC-20160824_0000006_VLL_0,U
EMSC-20161030_0000029_POFI_0,V
TK-2004-0089_2301_0,V
EMSC-20160824_0000006_SSC_0,U
IT-2009-0009_AQU_0,U
EMSC-20161026_0000077_SLO_0,V
IT-2009-0102_RM02_0,V
EMSC-20161227_0000104_VOIR_0,U
