im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,21,4,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,21,4,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,22,4,0.45,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.4,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.36,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.33,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.285,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.27,,30,30,0,30,0,0,0,True,False
AvgSA_03,22,4,0.2423,,30,30,0,28,2,2,0,False,False
AvgSA_03,22,4,0.2109,,30,30,0,27,3,3,0,False,False
AvgSA_03,23,4,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.2109,,30,0,30,30,0,0,0,True,True
AvgSA_03,23,4,0.1645,,30,0,30,30,0,0,0,True,True
AvgSA_03,24,4,0.65,,30,8,22,29,1,1,0,False,False
AvgSA_03,24,4,0.55,,30,9,21,29,1,1,0,False,False
AvgSA_03,24,4,0.5,,30,12,18,29,1,1,0,False,False
AvgSA_03,24,4,0.45,,30,9,21,29,1,1,0,False,False
AvgSA_03,24,4,0.4,,30,15,15,29,1,1,0,False,False
AvgSA_03,24,4,0.36,,30,15,15,28,2,2,0,False,False
AvgSA_03,24,4,0.33,,30,17,13,29,1,1,0,False,False
AvgSA_03,24,4,0.31,,30,18,12,27,3,3,0,False,False
AvgSA_03,25,5,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,25,5,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.285,,30,0,30,30,0,0,0,True,True
AvgSA_03,26,5,0.27,,30,0,30,30,0,0,0,True,True
AvgSA_03,27,5,0.4898,,30,0,30,30,0,0,0,True,False
AvgSA_03,27,5,0.45,,30,3,27,30,0,0,0,True,False
AvgSA_03,27,5,0.4,,30,4,26,30,0,0,0,True,False
AvgSA_03,27,5,0.36,,30,6,24,30,0,0,0,True,False
AvgSA_03,27,5,0.33,,30,7,23,30,0,0,0,True,False
AvgSA_03,27,5,0.31,,30,9,21,30,0,0,0,True,False
AvgSA_03,27,5,0.285,,30,10,20,30,0,0,0,True,False
AvgSA_03,27,5,0.27,,30,11,19,30,0,0,0,True,False
AvgSA_03,27,5,0.2109,,30,13,17,26,4,4,0,False,False
